"","CommonName","Year","ExportCountry","TotalExportWeight","TotalTotalPrice","TotalAvgUnitPrice"
"2985","Salmon, Trout & Other Salmonidae Fish","2021","Singapore",269012,5701468,21.193643369069
"2986","Salmon, Trout & Other Salmonidae Fish","2021","Solomon Islands",664,14725,22.1727409638554
"2987","Salmon, Trout & Other Salmonidae Fish","2021","South Korea",32604,988481,30.3170080358238
"2988","Salmon, Trout & Other Salmonidae Fish","2021","Switzerland",4797,268212,55.9147529706066
"2989","Salmon, Trout & Other Salmonidae Fish","2021","Taiwan",119723,1534286,12.8172412986644
"2990","Salmon, Trout & Other Salmonidae Fish","2021","Thailand",218872,3650285,16.6796094064111
"2991","Salmon, Trout & Other Salmonidae Fish","2021","Tonga",11167,105351,9.43318706904271
"2992","Salmon, Trout & Other Salmonidae Fish","2021","United Arab Emirates",18669,522514,27.9867737961326
"2993","Salmon, Trout & Other Salmonidae Fish","2021","United Kingdom",23989,631161,26.3079932469048
"2994","Salmon, Trout & Other Salmonidae Fish","2021","United States",3574663,73945907,20.6856299908551
"2995","Salmon, Trout & Other Salmonidae Fish","2021","Vanuatu",4222,37042,8.77022974893416
"2996","Salmon, Trout & Other Salmonidae Fish","2021","Vietnam",60034,1125637,18.7523415064797
"2997","Salmon, Trout & Other Salmonidae Fish","2021","Wallis & Futuna",90,10159,112.88
"2998","Salmon, Trout & Other Salmonidae Fish","2022","American Samoa",1355,36507,26.94
"2999","Salmon, Trout & Other Salmonidae Fish","2022","Australia",2738132,22589423,8.24925926872773
"3000","Salmon, Trout & Other Salmonidae Fish","2022","Canada",166968,5569985,33.3563843970102
"3001","Salmon, Trout & Other Salmonidae Fish","2022","China",622877,13678155,21.9596218033416
"3002","Salmon, Trout & Other Salmonidae Fish","2022","Cook Islands",7188,123209,17.1397426265999
"3003","Salmon, Trout & Other Salmonidae Fish","2022","Cyprus",1571,55746,35.48
"3004","Salmon, Trout & Other Salmonidae Fish","2022","Denmark",25612,411130,16.05
"3005","Salmon, Trout & Other Salmonidae Fish","2022","Fiji",16090,445971,27.7155574891237
"3006","Salmon, Trout & Other Salmonidae Fish","2022","French Polynesia",25285,1036105,40.9760320348032
"3007","Salmon, Trout & Other Salmonidae Fish","2022","Germany",7553,162815,21.56
"3008","Salmon, Trout & Other Salmonidae Fish","2022","Hong Kong",74100,2146871,28.970802294197
"3009","Salmon, Trout & Other Salmonidae Fish","2022","Italy",3090,88409,28.6132815533981
"3010","Salmon, Trout & Other Salmonidae Fish","2022","Jamaica",100,3523,35.23
"3011","Salmon, Trout & Other Salmonidae Fish","2022","Japan",444491,7084033,15.9402488914286
"3012","Salmon, Trout & Other Salmonidae Fish","2022","Kiribati",64,1859,29.0459375
"3013","Salmon, Trout & Other Salmonidae Fish","2022","Malaysia",134340,904105,6.73285923775495
"3014","Salmon, Trout & Other Salmonidae Fish","2022","Netherlands",86172,3430624,39.8144448312677
"3015","Salmon, Trout & Other Salmonidae Fish","2022","New Caledonia",1717,45489,26.4935701805475
"3016","Salmon, Trout & Other Salmonidae Fish","2022","Niue",3215,114583,35.6386127527216
"3017","Salmon, Trout & Other Salmonidae Fish","2022","Norfolk Island",50,975,19.5
"3018","Salmon, Trout & Other Salmonidae Fish","2022","Northern Mariana Islands",30,734,24.47
"3019","Salmon, Trout & Other Salmonidae Fish","2022","Papua New Guinea",6685,174270,26.065875841436
"3020","Salmon, Trout & Other Salmonidae Fish","2022","Philippines",5548,165867,29.8959697188176
"3021","Salmon, Trout & Other Salmonidae Fish","2022","Samoa",9592,108125,11.2706891159299
"3022","Salmon, Trout & Other Salmonidae Fish","2022","Singapore",152251,4536043,29.790773196892
"3023","Salmon, Trout & Other Salmonidae Fish","2022","Solomon Islands",534,15179,28.4267041198502
"3024","Salmon, Trout & Other Salmonidae Fish","2022","South Korea",19112,537807,28.1402752197572
"3025","Salmon, Trout & Other Salmonidae Fish","2022","Switzerland",21594,1401980,64.9275622858201
"3026","Salmon, Trout & Other Salmonidae Fish","2022","Taiwan",96659,2554718,26.428489328464
"3027","Salmon, Trout & Other Salmonidae Fish","2022","Thailand",94250,2219196,23.5464641909814
"3028","Salmon, Trout & Other Salmonidae Fish","2022","Tonga",5031,70551,14.0241542436891
"3029","Salmon, Trout & Other Salmonidae Fish","2022","United Arab Emirates",13887,430972,31.0345214949233
"3030","Salmon, Trout & Other Salmonidae Fish","2022","United Kingdom",19059,544609,28.5730930269164
"3031","Salmon, Trout & Other Salmonidae Fish","2022","United States",3264406,82847950,25.3805086223956
"3032","Salmon, Trout & Other Salmonidae Fish","2022","Vanuatu",8267,111084,13.4333591387444
"3033","Salmon, Trout & Other Salmonidae Fish","2022","Vietnam",17579,483045,27.48
"3034","Salmon, Trout & Other Salmonidae Fish","2022","Wallis & Futuna",40,4514,112.85
"3035","Scallops","2018","Australia",2472,71675,28.99
"3036","Scallops","2018","Cook Islands",4571,117510,25.7109035222052
"3037","Scallops","2018","Fiji",7549,236468,31.3209974831103
"3038","Scallops","2018","French Polynesia",900,18738,20.82
"3039","Scallops","2018","Mauritius",680,21699,31.91
"3040","Scallops","2018","New Caledonia",730,13990,19.163698630137
"3041","Scallops","2018","Niue",331,7963,24.0580060422961
"3042","Scallops","2018","Norfolk Island",278,8648,31.1123741007194
"3043","Scallops","2018","Palau",13,794,61.0769230769231
"3044","Scallops","2018","Papua New Guinea",973,30586,31.434295991778
"3045","Scallops","2018","Samoa",611,16355,26.77
"3046","Scallops","2018","Singapore",274,3775,13.78
"3047","Scallops","2018","Solomon Islands",32,1393,43.528125
"3048","Scallops","2018","South Africa",40,2710,67.75
"3049","Scallops","2018","Tonga",1261,15697,12.4509199048374
"3050","Scallops","2018","Vanuatu",1813,45844,25.284693877551
"3051","Scallops","2018","Wallis & Futuna",46,1651,35.8947826086957
"3052","Scallops","2019","Cook Islands",5328,144339,27.0928753753754
"3053","Scallops","2019","Fiji",502,16643,33.15
"3054","Scallops","2019","Hong Kong",800,20477,25.6
"3055","Scallops","2019","Mauritius",860,29158,33.9
"3056","Scallops","2019","Netherlands",60,1452,24.2
"3057","Scallops","2019","New Caledonia",4151,114721,27.6398699108649
"3058","Scallops","2019","Niue",430,5306,12.34
"3059","Scallops","2019","Norfolk Island",364,9898,27.1930769230769
"3060","Scallops","2019","Papua New Guinea",518,14973,28.91
"3061","Scallops","2019","Samoa",994,36602,36.8271428571429
"3062","Scallops","2019","Singapore",132,1478,11.2
"3063","Scallops","2019","Tonga",790,19010,24.0655696202532
"3064","Scallops","2019","United States",48,405,8.44
"3065","Scallops","2019","Vanuatu",2784,54180,19.4587033045977
"3066","Scallops","2019","Wallis & Futuna",295,8521,28.8879661016949
"3067","Scallops","2020","Australia",4,26,6.5
"3068","Scallops","2020","Cook Islands",489,12560,25.6842944785276
"3069","Scallops","2020","Fiji",52,1300,25
"3070","Scallops","2020","French Polynesia",560,8472,15.13
"3071","Scallops","2020","Mauritius",300,11973,39.91
"3072","Scallops","2020","Micronesia",15,367,24.47
"3073","Scallops","2020","Niue",528,6423,12.16
"3074","Scallops","2020","Norfolk Island",40,998,24.95
"3075","Scallops","2020","Palau",2,77,38.5
"3076","Scallops","2020","Papua New Guinea",1113,25124,22.5716981132075
"3077","Scallops","2020","Samoa",725,11544,15.9226068965517
"3078","Scallops","2020","Singapore",24,163,6.79
"3079","Scallops","2020","Tonga",80,1696,21.2
"3080","Scallops","2020","United States",180,8396,46.64
"3081","Scallops","2020","Vanuatu",405,15857,39.157037037037
"3082","Scallops","2020","Wallis & Futuna",42,796,18.95
"3083","Scallops","2021","American Samoa",100,1935,19.35
"3084","Scallops","2021","Australia",3,19,6.33
"3085","Scallops","2021","Cook Islands",670,15862,23.6734328358209
"3086","Scallops","2021","Fiji",887,10006,11.2831454340474
"3087","Scallops","2021","Kiribati",160,3108,19.425
"3088","Scallops","2021","Malaysia",204,1680,8.24
"3089","Scallops","2021","Mauritius",100,2945,29.45
"3090","Scallops","2021","New Caledonia",3888,53071,13.65
"3091","Scallops","2021","Niue",754,8105,10.7490583554377
"3092","Scallops","2021","Norfolk Island",247,3646,14.7612550607287
"3093","Scallops","2021","Papua New Guinea",439,10666,24.2958314350797
"3094","Scallops","2021","Samoa",200,3199,15.995
"3095","Scallops","2021","Singapore",1,55,55
"3096","Scallops","2021","Tonga",400,7574,18.93375
"3097","Scallops","2021","United Arab Emirates",100,851,8.51
"3098","Scallops","2021","Vanuatu",430,4244,9.87
"3099","Scallops","2021","Wallis & Futuna",374,7298,19.51
"3100","Scallops","2022","American Samoa",150,3992,26.61
"3101","Scallops","2022","Australia",16610,97444,5.87
"3102","Scallops","2022","Cook Islands",4546,91076,20.0330136383634
"3103","Scallops","2022","Fiji",200,6192,30.95695
"3104","Scallops","2022","Mauritius",100,4870,48.7
"3105","Scallops","2022","New Caledonia",1700,49333,29.0176470588235
"3106","Scallops","2022","Niue",242,3081,12.7305785123967
"3107","Scallops","2022","Norfolk Island",124,1512,12.1920161290323
"3108","Scallops","2022","Papua New Guinea",322,8191,25.4398136645963
"3109","Scallops","2022","Samoa",1163,16288,14.0025279449699
"3110","Scallops","2022","Singapore",3,113,37.67
"3111","Scallops","2022","Solomon Islands",140,3480,24.86
"3112","Scallops","2022","Tonga",1460,16389,11.2298356164384
"3113","Scallops","2022","Vanuatu",1987,23703,11.9292048314041
"3114","Scallops","2022","Wallis & Futuna",40,895,22.38
"3115","Sea Cucumbers","2018","China",19,63778,3356.74
"3116","Sea Cucumbers","2018","Taiwan",25,3895,155.8
"3117","Sea Cucumbers","2019","Australia",230,18304,79.58
"3118","Sea Cucumbers","2019","China",170,134256,789.74
"3119","Sea Cucumbers","2019","Malaysia",122,2746,22.51
"3120","Sea Cucumbers","2019","Taiwan",50,6864,137.28
"3121","Sea Cucumbers","2020","China",174,94467,542.91
"3122","Sea Cucumbers","2020","Malaysia",331,7461,22.54
"3123","Sea Cucumbers","2021","Australia",50,2021,40.422
"3124","Sea Cucumbers","2021","China",1345,405490,301.480832713755
"3125","Sea Cucumbers","2021","Malaysia",100,2063,20.63
"3126","Sea Cucumbers","2022","China",290,201312,694.18
"3127","Sea Cucumbers","2022","Singapore",50,38075,761.5
"3128","Sea Perch","2018","Australia",26731,91343,3.41602596236579
"3129","Sea Perch","2018","Bulgaria",286,640,2.24
"3130","Sea Perch","2018","Canada",15,265,17.67
"3131","Sea Perch","2018","China",507334,1585382,3.12725165275735
